date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:36:16	45070/45070	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Feb%202021%2022:23:33%20GMT	https://preview.colorlib.com/theme/buildream/index.html	D:/CT4%20Constructex/preview.colorlib.com/theme/buildream/index.html	(from )
18:36:17	34/34	---MCZ	200	added ('OK')	text/plain	etag:W/%22e-5c01b2e3a6ac3-br%22	https://preview.colorlib.com/robots.txt		(from )
18:36:17	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%22269550530cc127b6aa5a35925a7de6ce%22	https://stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	D:/CT4%20Constructex/stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://preview.colorlib.com/theme/buildream/index.html)
18:36:17	46591/46591	---M-Z	200	added ('OK')	text/css	etag:%225eb03eae-b5ff%22	https://cdnjs.cloudflare.com/ajax/libs/ionicons/4.5.6/css/ionicons.min.css	D:/CT4%20Constructex/cdnjs.cloudflare.com/ajax/libs/ionicons/4.5.6/css/ionicons.min.css	(from https://preview.colorlib.com/theme/buildream/index.html)
18:36:18	53553/53553	---M-Z	200	added ('OK')	text/css	etag:%22d131-5c1f9aba9e66e-gzip%22	https://preview.colorlib.com/theme/buildream/css/animate.css	D:/CT4%20Constructex/preview.colorlib.com/theme/buildream/css/animate.css	(from https://preview.colorlib.com/theme/buildream/index.html)
18:36:18	1430/1430	---M-Z	200	added ('OK')	text/css	etag:%22596-5c1f9aba9f60e-gzip%22	https://preview.colorlib.com/theme/buildream/css/flaticon.css	D:/CT4%20Constructex/preview.colorlib.com/theme/buildream/css/flaticon.css	(from https://preview.colorlib.com/theme/buildream/index.html)
18:36:19	2178/2178	---M-Z	200	added ('OK')	text/css	etag:%22882-5c21cf616ff03-gzip%22	https://preview.colorlib.com/theme/buildream/css/tiny-slider.css	D:/CT4%20Constructex/preview.colorlib.com/theme/buildream/css/tiny-slider.css	(from https://preview.colorlib.com/theme/buildream/index.html)
18:36:19	8815/8815	---M-Z	200	added ('OK')	text/css	etag:%22226f-5c1f9aba9f60e-gzip%22	https://preview.colorlib.com/theme/buildream/css/glightbox.min.css	D:/CT4%20Constructex/preview.colorlib.com/theme/buildream/css/glightbox.min.css	(from https://preview.colorlib.com/theme/buildream/index.html)
18:36:19	5912/5912	---M-Z	200	added ('OK')	text/css	etag:%221718-5c1f9aba9e66e-gzip%22	https://preview.colorlib.com/theme/buildream/css/aos.css	D:/CT4%20Constructex/preview.colorlib.com/theme/buildream/css/aos.css	(from https://preview.colorlib.com/theme/buildream/index.html)
18:36:20	84315/84315	---M-Z	200	added ('OK')	text/css	etag:%221495b-5c1f9aba9f60e-gzip%22	https://preview.colorlib.com/theme/buildream/css/style.css	D:/CT4%20Constructex/preview.colorlib.com/theme/buildream/css/style.css	(from https://preview.colorlib.com/theme/buildream/index.html)
18:36:20	26660/26660	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Feb%202021%2022:23:34%20GMT	https://preview.colorlib.com/theme/buildream/about.html	D:/CT4%20Constructex/preview.colorlib.com/theme/buildream/about.html	(from https://preview.colorlib.com/theme/buildream/index.html)
18:36:21	13418/13418	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Feb%202021%2022:23:38%20GMT	https://preview.colorlib.com/theme/buildream/services.html	D:/CT4%20Constructex/preview.colorlib.com/theme/buildream/services.html	(from https://preview.colorlib.com/theme/buildream/index.html)
18:36:21	16142/16142	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Feb%202021%2022:23:37%20GMT	https://preview.colorlib.com/theme/buildream/project.html	D:/CT4%20Constructex/preview.colorlib.com/theme/buildream/project.html	(from https://preview.colorlib.com/theme/buildream/index.html)
18:36:21	16304/16304	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Feb%202021%2022:23:35%20GMT	https://preview.colorlib.com/theme/buildream/pricing.html	D:/CT4%20Constructex/preview.colorlib.com/theme/buildream/pricing.html	(from https://preview.colorlib.com/theme/buildream/index.html)
18:36:22	16399/16399	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Feb%202021%2022:23:33%20GMT	https://preview.colorlib.com/theme/buildream/blog.html	D:/CT4%20Constructex/preview.colorlib.com/theme/buildream/blog.html	(from https://preview.colorlib.com/theme/buildream/index.html)
18:36:22	12597/12597	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Feb%202021%2022:23:34%20GMT	https://preview.colorlib.com/theme/buildream/contact.html	D:/CT4%20Constructex/preview.colorlib.com/theme/buildream/contact.html	(from https://preview.colorlib.com/theme/buildream/index.html)
18:36:23	1956592/1956592	---M--	200	added ('OK')	image/jpeg	etag:%221ddaf0-5bb3f4587b1aa%22	https://preview.colorlib.com/theme/buildream/images/bg_1.jpg	D:/CT4%20Constructex/preview.colorlib.com/theme/buildream/images/bg_1.jpg	(from https://preview.colorlib.com/theme/buildream/index.html)
18:36:23	584098/584098	---M--	200	added ('OK')	image/jpeg	etag:%228e9a2-5bb3f4717b6c5%22	https://preview.colorlib.com/theme/buildream/images/about.jpg	D:/CT4%20Constructex/preview.colorlib.com/theme/buildream/images/about.jpg	(from https://preview.colorlib.com/theme/buildream/index.html)
18:36:23	1176232/1176232	---M--	200	added ('OK')	image/jpeg	etag:%2211f2a8-5bb3f453e25c0%22	https://preview.colorlib.com/theme/buildream/images/bg_4.jpg	D:/CT4%20Constructex/preview.colorlib.com/theme/buildream/images/bg_4.jpg	(from https://preview.colorlib.com/theme/buildream/index.html)
18:36:24	1178184/1178184	---M--	200	added ('OK')	image/jpeg	etag:%2211fa48-5bb3f44f7e594%22	https://preview.colorlib.com/theme/buildream/images/services.jpg	D:/CT4%20Constructex/preview.colorlib.com/theme/buildream/images/services.jpg	(from https://preview.colorlib.com/theme/buildream/index.html)
18:36:24	760283/760283	---M--	200	added ('OK')	image/jpeg	etag:%22b99db-5bb3f46f0f501%22	https://preview.colorlib.com/theme/buildream/images/staff-1.jpg	D:/CT4%20Constructex/preview.colorlib.com/theme/buildream/images/staff-1.jpg	(from https://preview.colorlib.com/theme/buildream/index.html)
18:36:25	804144/804144	---M--	200	added ('OK')	image/jpeg	etag:%22c4530-5bb3f45bba264%22	https://preview.colorlib.com/theme/buildream/images/bg_2.jpg	D:/CT4%20Constructex/preview.colorlib.com/theme/buildream/images/bg_2.jpg	(from https://preview.colorlib.com/theme/buildream/index.html)
18:36:25	1133979/1133979	---M--	200	added ('OK')	image/jpeg	etag:%22114d9b-5bb3f467fdc34%22	https://preview.colorlib.com/theme/buildream/images/staff-2.jpg	D:/CT4%20Constructex/preview.colorlib.com/theme/buildream/images/staff-2.jpg	(from https://preview.colorlib.com/theme/buildream/index.html)
18:36:25	833626/833626	---M--	200	added ('OK')	image/jpeg	etag:%22cb85a-5bb3f46c030c5%22	https://preview.colorlib.com/theme/buildream/images/staff-3.jpg	D:/CT4%20Constructex/preview.colorlib.com/theme/buildream/images/staff-3.jpg	(from https://preview.colorlib.com/theme/buildream/index.html)
18:36:26	786812/786812	---M--	200	added ('OK')	image/jpeg	etag:%22c017c-5bb3f474a4fc0%22	https://preview.colorlib.com/theme/buildream/images/staff-4.jpg	D:/CT4%20Constructex/preview.colorlib.com/theme/buildream/images/staff-4.jpg	(from https://preview.colorlib.com/theme/buildream/index.html)
18:36:26	505324/505324	---M--	200	added ('OK')	image/jpeg	etag:%227b5ec-5bb3f47034474%22	https://preview.colorlib.com/theme/buildream/images/work-1.jpg	D:/CT4%20Constructex/preview.colorlib.com/theme/buildream/images/work-1.jpg	(from https://preview.colorlib.com/theme/buildream/index.html)
18:36:26	127384/127384	---M--	200	added ('OK')	image/jpeg	etag:%221f198-5bb3f46667847%22	https://preview.colorlib.com/theme/buildream/images/work-2.jpg	D:/CT4%20Constructex/preview.colorlib.com/theme/buildream/images/work-2.jpg	(from https://preview.colorlib.com/theme/buildream/index.html)
18:36:27	149921/149921	---M--	200	added ('OK')	image/jpeg	etag:%22249a1-5bb3f4685a890%22	https://preview.colorlib.com/theme/buildream/images/work-3.jpg	D:/CT4%20Constructex/preview.colorlib.com/theme/buildream/images/work-3.jpg	(from https://preview.colorlib.com/theme/buildream/index.html)
